자치구별(1),자치구별(2),시가화면적별(1),시가화면적별(2),2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
서울시,양천구,행정구역면적 (㎢),소계,17.4,17.4,17.4,17.4,17.4,17.4,17.41,17.4,17.41,17.4,17.4,17.4,17.4,17.41,17.41,17.41,17.41
서울시,양천구,시가화면적 현황,시가화면적 (㎢),12.72,12.72,12.72,13.03,13.03,13,13,13,13,13.05,13.4,13.43,13.43,13.43,13.43,13.43,13.43
서울시,양천구,시가화면적 현황,시가화면적비율 (%),73.11,73.11,73.1,74.88,74.88,74.7,74.68,74.7,74.69,75.03,77,77.16,77.15,77.13,77.13,77.13,77.14
서울시,강서구,행정구역면적 (㎢),소계,41.4,41.4,41.4,41.43,41.42,41.43,41.42,41.43,41.43,41.43,41.43,41.43,41.44,41.44,41.44,41.44,41.44
서울시,강서구,시가화면적 현황,시가화면적 (㎢),17.04,17.03,17.1,15.18,15.18,17.99,17.99,18.03,18.03,18.03,18.03,18.03,18.96,18.96,18.96,18.96,18.96
서울시,강서구,시가화면적 현황,시가화면적비율 (%),41.17,41.14,41.3,36.64,36.66,43.43,43.43,43.53,43.53,43.53,43.53,43.53,45.76,45.76,45.76,45.76,45.76
서울시,구로구,행정구역면적 (㎢),소계,20.11,20.11,20.11,20.11,20.11,20.14,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12
서울시,구로구,시가화면적 현황,시가화면적 (㎢),14.09,14.1,14.42,14.42,14.42,14.23,14.23,14.19,14.19,14.19,14.76,14.23,14.98,14.98,14.98,14.98,14.98
서울시,구로구,시가화면적 현황,시가화면적비율 (%),70.03,70.08,71.69,71.7,71.72,70.68,70.74,70.53,70.52,70.53,73.38,70.74,74.45,74.45,74.45,74.45,74.45
서울시,금천구,행정구역면적 (㎢),소계,13,13.01,13.02,13.01,13.01,13.01,13,13,13,13,13.02,13.02,13.02,13.02,13.02,13.02,13.02
서울시,금천구,시가화면적 현황,시가화면적 (㎢),10.55,10.55,10.93,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.55,10.12,10.12,10.12,10.12,10.12
서울시,금천구,시가화면적 현황,시가화면적비율 (%),81.14,81.12,84,81.08,81.09,81.12,81.16,81.15,81.15,81.15,81.05,81.03,77.71,77.71,77.7,77.7,77.7
서울시,영등포구,행정구역면적 (㎢),소계,24.57,24.56,24.57,24.57,24.57,24.57,24.57,24.57,24.57,24.55,24.53,24.53,24.53,24.53,24.55,24.55,24.55
서울시,영등포구,시가화면적 현황,시가화면적 (㎢),18.07,18.07,17.69,18.07,18.07,17.79,17.79,17.79,17.79,17.79,17.79,17.79,15.65,15.65,15.65,15.65,15.65
서울시,영등포구,시가화면적 현황,시가화면적비율 (%),73.54,73.56,72,73.56,73.56,72.42,72.43,72.42,72.42,72.46,72.53,72.53,63.78,63.78,63.74,63.74,63.74
서울시,동작구,행정구역면적 (㎢),소계,16.36,16.36,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35,16.35
서울시,동작구,시가화면적 현황,시가화면적 (㎢),15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,14.14,14.14,14.14,14.14,14.14
서울시,동작구,시가화면적 현황,시가화면적비율 (%),95.67,95.69,95.74,95.73,95.73,95.73,95.73,95.73,95.7,95.69,95.69,95.69,86.44,86.43,86.43,86.43,86.44
